store_name,si,gu,ro,zip_code,addr,tel,x_code,y_code
제일약국,경북,울릉군,울릉순환로,40219,경상북도 울릉군 울릉읍 울릉순환로 214 (울릉읍),054-791-1411,130.9097824,37.492351
윤정약국,경북,울릉군,도동길,40227,경상북도 울릉군 울릉읍 도동길 101 (),054-791-2629,130.9059364,37.4833703
새천년약국,경북,포항남구,해맞이로,37928,경상북도 포항시 남구 호미곶면 해맞이로 194-2 (호미곶면),054-281-2334,129.5602765,36.0787098
구룡약국,경북,포항남구,구룡포길,37931,경상북도 포항시 남구 구룡포읍 구룡포길 81 (구룡포읍),054-276-1920,129.5547621,35.9909623
한미약국,경북,포항남구,구룡포길,37932,경상북도 포항시 남구 구룡포읍 구룡포길 71 (),054-276-5366,129.5537885,35.9904281
일선약국,경북,포항남구,구룡포길,37932,경상북도 포항시 남구 구룡포읍 구룡포길 67 (),054-276-2559,129.5534353,35.990246
양포약국,경북,포항남구,동해안로,37946,경상북도 포항시 남구 장기면 동해안로 3262-2 (),054-276-3608,129.5170901,35.8782953
감포우리약국,경북,경주시,감포로6길,38125,경상북도 경주시 감포읍 감포로6길 21-2 (감포읍),054-741-5545,129.5027119,35.8042861
소망약국,경북,경주시,감포로,38125,경상북도 경주시 감포읍 감포로 124 (),054-743-2285,129.5025015,35.8050885
대원약국,경북,경주시,감포로7길,38125,경상북도 경주시 감포읍 감포로7길 2 (감포읍),054-744-3085,129.5023289,35.8044897
영남약국,경북,경주시,하서중앙길,38220,경상북도 경주시 양남면 하서중앙길 46 (양남면),054-774-3319,129.4633568,35.6751147
안신약국,경북,경주시,하서중앙길,38220,경상북도 경주시 양남면 하서중앙길 50-1 (),054-744-0125,129.4633542,35.675476
도구제일약국,경북,포항남구,일월로,37926,경상북도 포항시 남구 동해면 일월로 140-1 (동해면),054-285-2024,129.448325,35.9876096
세화약국,경북,포항남구,일월로,37925,경상북도 포항시 남구 동해면 일월로 137 103호 (동해그린상가),054-284-5566,129.4481434,35.9881137
